target,payload_id,category,full_destination_visible,warning_shown,confirmation_required,auto_open,handoff_type,payload_handled_safely,third_party_traffic_observed,notes,screenshot_file,capture_file
Gamma Play,PHISH_001,phishing_style_urls,yes,no,yes,no,in_app_browser_chrome_custom_tab,yes,unknown,"Decoded successfully, displayed full URL clearly, no warning shown, required user to tap Open, then opened in a Chrome-backed in-app browser / custom tab.","gamma_play_PHISH_001_result.png; gamma_play_PHISH_001_open.png; gamma_play_PHISH_001_menu.png",
Gamma Play,PHISH_002,phishing_style_urls,yes,no,yes,no,in_app_browser_chrome_custom_tab,yes,unknown,"Decoded successfully, displayed full URL clearly, no warning shown, required user to tap Open, then opened in a Chrome-backed in-app browser / custom tab.","gamma_play_PHISH_002_result.png; gamma_play_PHISH_002_open.png",
Gamma Play,PHISH_003,phishing_style_urls,yes,no,yes,no,in_app_browser_chrome_custom_tab,yes,unknown,"Decoded successfully, displayed full URL clearly, no warning shown, required user to tap Open, then opened in a Chrome-backed in-app browser / custom tab.","gamma_play_PHISH_003_result.png; gamma_play_PHISH_003_open.png",
Gamma Play,SCHEME_001,nonstandard_schemes,yes,no,yes,no,phone_dialer,yes,unknown,"Decoded successfully as a phone number, displayed the number clearly, offered Call/Add contact actions, did not auto-call, and after tapping Call handed off to the phone dialer with the number prefilled.","gamma_play_SCHEME_001_result.png; gamma_play_SCHEME_001_dialer.png",
Gamma Play,SCHEME_002,nonstandard_schemes,yes,no,yes,no,internal_text_viewer,yes,unknown,"Decoded successfully as a data URI, displayed the full payload clearly, no warning shown, did not auto-open, and after user interaction opened an internal viewer showing the decoded text content.","gamma_play_SCHEME_002_result.png; gamma_play_SCHEME_002_viewer.png",
